Quantity,Manufacturer Part Number,Description,Customer Reference
2,OPA2134PA,Dual audio op-amp FET-input DIP-8,U1 U2 U3 (2 pkgs = 4 sections)
1,BD139,NPN transistor TO-126 high-current driver,Q1
1,LM7815CT/NOPB,+15V linear regulator TO-220,U4
1,LM7915CT/NOPB,-15V linear regulator TO-220,U5
1,W02G-E4/51,Bridge rectifier 1A 200V,BR1
1,MKS2C041001B00KSSD,WIMA 1uF 63V film capacitor,C1 driver coupling
1,MKS2C034700K00KSSD,WIMA 470nF 63V film capacitor,C3 tank output coupling
8,MKS2C031001A00KSSD,WIMA 100nF 63V film capacitor,C4 HPF + op-amp decoupling
1,CD15ED470JO3F,47pF silver mica capacitor,C-bright mix pot
2,UKW1V222MHD,Nichicon UKW 2200uF 35V low-ESR electrolytic,C5 C6 main PSU filter
2,UKW1E101MED,Nichicon UKW 100uF 25V audio grade electrolytic,C7 C8 reg output + emitter bypass
2,UKW1E100MDD,Nichicon UKW 10uF 25V electrolytic,C11 C12 bulk rail decoupling
5,MFR-25FBF52-1M,Yageo 1M metal film resistor 1% 250mW,R1 input impedance
5,MFR-25FBF52-100K,Yageo 100k metal film resistor 1% 250mW,Rf gain network + Rbias input impedance
5,MFR-25FBF52-10K,Yageo 10k metal film resistor 1% 250mW,Rdry dry path mixing
5,MFR-25FBF52-6K8,Yageo 6.8k metal film resistor 1% 250mW,R3b upper bias
5,MFR-25FBF52-5K6,Yageo 5.6k metal film resistor 1% 250mW,R6 HPF
5,MFR-25FBF52-470R,Yageo 470R metal film resistor 1% 250mW,Ri recovery gain set
5,MFR-25FBF52-100R,Yageo 100R metal film resistor 1% 250mW,R2 R7 output isolation
5,MFR-25FBF52-68R,Yageo 68R metal film resistor 1% 250mW,R5 emitter degeneration
5,MFR-25FBF52-1K,Yageo 1k metal film resistor 1% 250mW,R3 R4 base bias
1,296UAL103B2,Vishay Spectrol 296 10k linear pot MIL-PRF-39023,RV1 Dwell
2,296UAL104B2,Vishay Spectrol 296 100k linear pot MIL-PRF-39023,RV2 Mix + RV3 Tone
2,112A,Switchcraft 1/4 inch TS mono jack,J1 J2
2,A-108-A-LPT,Assmann DIP-8 machine-pin IC socket,IC sockets for OPA2134
1,4301.0527,Schurter IEC power inlet with fuse holder,IEC inlet
1,1825232-1,TE SPST rocker switch 6A 250V,Power switch
2,V7477X,Assmann TO-220 heatsink,LM7815 LM7915 heatsinks
2,4880SG,Aavid TO-220 mica insulating pad,Regulator isolation
1,F-219X,Triad Magnetics toroidal transformer 15VA dual 15VAC,T1 power supply
1,T44,Vector FR4 perfboard,PCB
4,971100311,Wurth M3 nylon hex standoff 10mm,PCB standoffs
10,900151030030,Wurth M3 stainless pan-head screw,Hardware
1,8451,Belden 8451 shielded wire 24AWG (order by foot or spool),Signal wiring
1,24-6337-0027,Kester 44 solder 63/37 0.031 inch,Solder
1,2331-ZX,Kester 951 no-clean flux pen,Flux
1,1455T2201,Hammond 2U aluminum rackmount chassis (rack ears included),Chassis
